city,date,Multi-source,DomesticAviation,GroundTransportation,day
扬州市,20200212,1098849.7842541337,916.9073793739436,60783.59959821224,43
扬州市,20200213,1077282.2929632957,777.1053726157417,64046.614795957816,44
扬州市,20200214,1135368.0855776274,904.3667241142476,82663.81050386533,45
扬州市,20200215,1142036.6270632246,969.755306285114,71960.06563993273,46
扬州市,20200216,1148961.7535610464,1146.154986891701,59237.9239969889,47
扬州市,20200217,1188076.3526178591,867.7690502658629,79319.06483356684,48
扬州市,20200218,1185140.7288856904,841.1651436332622,71217.69995048032,49
扬州市,20200219,1218259.5709922768,1011.086869867291,67929.01344586993,50
扬州市,20200220,1170087.6937405593,972.717447814446,70060.92972571653,51
扬州市,20200221,1169918.2250750032,1200.0825728649638,76865.0922282494,52
扬州市,20200222,1151651.9616113305,1173.3956155352794,60061.65430651371,53
扬州市,20200223,1092332.1652327627,1483.6453362757095,53979.38797125507,54
扬州市,20200224,1197074.7903622976,1369.4506277850987,96078.86793984773,55
扬州市,20200225,1228456.719132511,1406.0759851991784,86674.67929971381,56
扬州市,20200226,1260854.5835271582,1612.484651018813,88350.69128922003,57
扬州市,20200227,1260546.048588233,1593.9366620033684,88404.67550966243,58
扬州市,20200228,1310068.1263376302,1846.549198967447,97617.53720800238,59
扬州市,20200229,1282872.2545009025,1846.3000468761943,68871.40195033705,60
淮安市,20200201,618553.101706998,2753.604663213944,31176.42908399072,32
淮安市,20200202,625855.5855154475,2730.561256696529,33177.385928436415,33
淮安市,20200203,622625.933340244,1973.161736328026,36676.40292307863,34
淮安市,20200204,625329.2235808433,1615.9724521847083,33458.93981576191,35
淮安市,20200205,645644.5978412698,1683.5532581370665,43686.80236463883,36
淮安市,20200206,663985.5463926371,1578.9513570215386,46148.31456211311,37
淮安市,20200207,648284.1364960477,1766.0018413989435,39940.024121950446,38
淮安市,20200208,618398.9707198143,1916.097163106791,39442.833166461736,39
淮安市,20200209,583174.6876721259,2518.555323486961,34974.58586930513,40
淮安市,20200210,592427.4709689005,1570.808694060449,41006.78014634902,41
淮安市,20200211,578483.5942494886,1153.7856719641895,39460.66796307196,42
淮安市,20200212,566839.9945626543,1091.875060462468,38735.09000277411,43
淮安市,20200213,555158.6927560753,925.3955140920244,40814.48622479074,44
淮安市,20200214,595861.6697475978,1076.941350659337,52678.5211965904,45
淮安市,20200215,613257.9530974061,1154.8076256151762,45857.4292669944,46
淮安市,20200216,616036.3502823641,1364.8685502631893,37750.08937885188,47
淮安市,20200217,631518.388897544,1033.3599723817674,50547.04123436699,48
淮安市,20200218,621665.4114050792,1001.679409201174,45384.3476794282,49
淮安市,20200219,632884.0141693408,1204.026232096577,43288.59210409141,50
淮安市,20200220,607405.4605003453,1158.3350140234213,44647.18174873408,51
淮安市,20200221,607889.154621486,1429.086799041333,48983.21726935605,52
淮安市,20200222,596398.9931210307,1397.3073371203216,38275.02156267067,53
淮安市,20200223,560476.9892734404,1766.760065075482,34399.02317701377,54
淮安市,20200224,613308.4833819878,1630.774297000615,61227.43012284697,55
淮安市,20200225,628521.1178521707,1674.3886415249904,55234.49624287705,56
淮安市,20200226,648140.0584493678,1920.1849777107384,56302.555319476414,57
淮安市,20200227,651481.0906853204,1898.0975923507,56336.95742220457,58
淮安市,20200228,674761.3522993224,2198.914594455709,62207.96587559016,59
淮安市,20200229,655704.820563541,2198.6178982344545,43889.14066948417,60
泉州市,20200201,795655.7552961677,5431.437001381254,29900.75652473192,32
泉州市,20200202,806069.4431456701,5385.984285358297,31819.83851007032,33
泉州市,20200203,802645.7023895171,3892.026988323359,35175.683239780585,34
泉州市,20200204,806596.2891880563,3187.4773772951303,32089.8718166697,35
泉州市,20200205,829844.1097874899,3320.7793341578777,41899.23218371166,36
泉州市,20200206,851794.8447700979,3114.45391507227,44260.02458559488,37
泉州市,20200207,831777.7487120649,3483.407721530429,38305.76406441646,38
泉州市,20200208,795421.942154647,3779.4681164553504,37828.91709562743,39
泉州市,20200209,750523.1017344731,4967.806292878136,33543.5008869707,40
泉州市,20200210,753522.9671781538,3098.3926549039284,39328.87072204236,41
泉州市,20200211,733341.0657042481,2275.8220430435604,37846.02213064199,42
泉州市,20200212,716344.415371622,2153.7044454883207,37150.1332630578,43
泉州市,20200213,699726.1740474997,1825.326454192285,39144.44505500366,44
泉州市,20200214,755719.6485878603,2124.2479642888948,50523.029181395774,45
泉州市,20200215,793460.5938013296,2277.837828732704,43981.04169237971,46
泉州市,20200216,800454.0403931462,2692.179325869009,36205.43675040517,47
泉州市,20200217,810043.8114264375,2038.2844584486247,48478.76480409689,48
泉州市,20200218,792718.2384324344,1975.7951020851613,43527.31758792754,49
泉州市,20200219,803380.7599330153,2374.9206685356708,41517.31583228472,50
泉州市,20200220,769214.425153022,2284.795540627491,42820.31490482258,51
泉州市,20200221,768292.6328586339,2818.8486975610253,46978.92915905362,52
泉州市,20200222,757007.8679861247,2756.1642651631287,36708.889836006354,53
泉州市,20200223,707981.9705822455,3484.903304461085,32991.48898462746,54
泉州市,20200224,761962.8995179402,3216.673757115313,58722.135104253575,55
泉州市,20200225,783749.5684520632,3302.7022883003933,52974.41921507837,56
泉州市,20200226,811143.6088695994,3787.531259211928,53998.77560680595,57
泉州市,20200227,818431.023932779,3743.964278188492,54031.77004933311,58
泉州市,20200228,843872.1443082002,4337.320549589746,59662.54943867216,59
泉州市,20200229,824090.385039954,4336.735321486447,42093.291239433165,60
海口市,20200201,149110.038311934,2012.926542296634,9501.511557693444,32
海口市,20200202,151907.23287564892,1996.081464561439,10111.334912790564,33
海口市,20200203,152489.80380215758,1442.4109910763184,11177.715874047948,34
海口市,20200204,152525.7350938874,1181.3002367689717,10197.142928433714,35
海口市,20200205,158219.49365324836,1230.7028252627476,13314.24636439318,36
海口市,20200206,162079.42180536842,1154.2372578038453,14064.43127269992,37
海口市,20200207,156936.3778349865,1290.973983225154,12172.356230628662,38
海口市,20200208,151197.64226015136,1400.6959273286473,12020.82939613361,39
海口市,20200209,142295.85537734162,1841.101929632916,10659.060117740952,40
海口市,20200210,140755.69672301985,1148.2848483609364,12497.46705931773,41
海口市,20200211,135837.2421424927,843.4347291188568,12026.264833452768,42
海口市,20200212,131791.8774552047,798.1771382938272,11805.133434561489,43
海口市,20200213,128718.12532093372,676.4780788335505,12438.862434867708,44
海口市,20200214,143279.87280878873,787.2603711778856,16054.61538405069,45
海口市,20200215,154380.4287209307,844.1817926521774,13975.779362435034,46
海口市,20200216,154863.47197950826,997.7394969850257,11504.93886168982,47
海口市,20200217,155794.37509845657,755.401726305314,15405.013037306704,48
海口市,20200218,149486.1452465401,732.2427567723782,13831.60024044892,49
